tag,Emission max (nm),Quantum yield,std_of_emission,std_of_plqy,PI_emission,PTR_plqy,joint_target_prob_indep,sum_log_target_prob,Chromophore
1838,728.4255164604097,0.3653162700002672,74.85489028437267,0.3103751372649895,0.0043309256763297554,0.3117338023087557,0.0013500959285988941,-6.607579630834912,CC1(C)C(/C=C/C2=C(c3ccc(C(=O)O)cc3)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21
19697,630.8962127488636,0.34327975100513075,111.5363919479212,0.32199340411159777,0.004191875859256289,0.29253100426451506,0.0012262536548604192,-6.703791566570962,CCCCCCCCc1ccc(-c2c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(SCC)=NC7=O)cc6CCCCCCCC)s5)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(SCC)=NC7=O)cc6CCCCCCCC)s5)s4)sc23)s1
696,672.0291015480976,0.33655145144984866,95.26766973168786,0.3199601187713511,0.003969722324935421,0.28567016351597285,0.0011340312256773095,-6.781976538185038,CN(C)c1ccc(/C=C/c2cc[n+](CCCOCC(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)cc2)cc1
14312,665.228652456716,0.3195094154541407,98.10830474609266,0.3203876444707545,0.0040593512080746574,0.2697613321372466,0.001095055989503161,-6.81694978505451,CCN(CC)c1ccc(/C=C2\CC/C(=C\c3ccc(N(c4ccc(/C=C5\CC/C(=C\c6ccc(N(CC)CC)cc6)C5=C(C#N)C#N)cc4)c4ccc(/C=C5\CC/C(=C\c6ccc(N(CC)CC)cc6)C5=C(C#N)C#N)cc4)cc3)C2=C(C#N)C#N)cc1
13136,750.7006117007556,0.3695633014374994,61.77063068589673,0.28833463417125105,0.0023966863684992123,0.3111073733635239,0.0007456268008799526,-7.201285349852711,CCCN1c2ccc(C#CC3=C4C=CC=[N+]4[B-](F)(F)n4cccc43)cc2Sc2cc(C#CC3=C4C=CC=[N+]4[B-](F)(F)n4cccc43)ccc21
19700,660.005312452896,0.3225455877250234,94.29129724123719,0.3201477845982892,0.002479647999168222,0.27252099894957205,0.0006757561497766314,-7.2996782721807865,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(SCC)=NC5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(SCC)=NC4=O)c4nsnc24)sc1-3
171,563.8992183265614,0.34895854501883894,123.05564570897096,0.32093202459887626,0.0016736337647098587,0.2977014139508911,0.000498243138190078,-7.604422370787421,Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])cc1OCCOc1cc(-c2cc3ccc(C(=O)[O-])cc3[nH]2)ccc1N(CC(=O)[O-])CC(=O)[O-]
12832,740.2078044084417,0.2788059613893831,64.81265746772037,0.2964272117392665,0.0021850315754923244,0.2202851668736041,0.0004813300452314208,-7.6389573584396055,COc1ccc2cc(C3=[N+]4C(=Nc5c(-c6ccc7ccccc7c6)c(Br)c(-c6ccc7cc(OC)ccc7c6)n5[B-]4(F)F)C(c4ccc5ccccc5c4)=C3Br)ccc2c1
18702,597.1259047557106,0.34795375475928014,110.98475236928509,0.3202318927396923,0.0015702960127836896,0.29659791264798563,0.0004657465196310969,-7.6718690211222045,O=[N+]([O-])c1ccc([N+]2=Cc3ccc4c5c(ccc4c3O[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C=[N+](c2ccc([N+](=O)[O-])cc2)[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)O5)cc1
14512,707.039485985134,0.3272425029929257,74.06400220882765,0.30877147820883594,0.0016306316058597448,0.27323790756082056,0.00044555036798765734,-7.7162002579881275,CN(C)c1ccc(C2=[N+]3C(=Nc4c(-c5ccc(OCCCCS(=O)(=O)[O-])cc5)cc(-c5ccc(N(C)C)cc5)n4[B-]3(F)F)C(c3ccc(OCCCCS(=O)(=O)[O-])cc3)=C2)cc1
