Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference
128,c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,ClCCl,343.0,457.0,1.233,0.89,5.189770956,,,,,1188.12236,https://doi.org/10.1016/j.dyepig.2018.02.012
129,c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,ClCCl,343.0,459.0,2.496,0.92,5.551498792,,,,,1438.42176,https://doi.org/10.1016/j.dyepig.2018.02.012
130,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,580.0,623.0,3.87,0.57,,,,,74.6,846.95658,https://doi.org/10.1016/j.dyepig.2018.04.054
131,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1,Cc1ccccc1,615.0,637.0,3.36,0.45,,,,,35.5,1169.12156,https://doi.org/10.1016/j.dyepig.2018.04.054
132,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,664.0,683.0,0.3544,0.02,4.591621038,,,79.8,41.3,284.40592,http://dx.doi.org/10.1016/j.dyepig.2015.03.004
133,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,655.0,672.0,0.3397,0.15,4.819346484,,,70.4,38.2,284.40592,http://dx.doi.org/10.1016/j.dyepig.2015.03.004
134,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CCO,655.0,680.0,0.4618,0.09,5.049992857,,,44.7,40.7,284.40592,http://dx.doi.org/10.1016/j.dyepig.2015.03.004
135,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,662.0,682.0,0.4731,0.03,4.819346484,,,53.8,44.9,284.40592,http://dx.doi.org/10.1016/j.dyepig.2015.03.004
136,COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,374.0,479.0,7.5,0.38,4.37,,,,45.1,300.36004,https://doi.org/10.1016/j.dyepig.2018.04.037
137,C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,438.0,491.0,1.0,0.1,4.35,,,98.2,31.6,412.4948,https://doi.org/10.1016/j.dyepig.2018.04.037
138,O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,357.0,494.0,5.5,0.02,4.02,,,,60.5,314.34316,https://doi.org/10.1016/j.dyepig.2018.04.037
139,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,372.0,501.0,1.5,0.13,4.29,,,70.0,48.0,314.34316,https://doi.org/10.1016/j.dyepig.2018.04.037
140,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,353.0,473.0,2.5,0.38,4.17,,,90.7,42.2,364.40304,https://doi.org/10.1016/j.dyepig.2018.04.037
141,O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,CC#N,362.0,485.0,1.5,0.44,3.73,,,,45.2,396.46904,https://doi.org/10.1016/j.dyepig.2018.04.037
142,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,436.0,500.0,15.18,0.91,3.982271233,,,71.5,69.7,338.36516,https://doi.org/10.1016/j.dyepig.2016.11.056
143,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,533.0,615.0,3.56,0.07,4.008600172,,,112.3,43.6,444.4928,https://doi.org/10.1016/j.dyepig.2016.11.056
144,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCO,488.0,597.0,5.52,0.1,3.982723388,,,103.7,56.8,612.81536,https://doi.org/10.1016/j.dyepig.2016.11.056
145,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCO,437.0,509.0,1.66,0.35,4.033423755,,,72.1,66.3,486.52968,https://doi.org/10.1016/j.dyepig.2016.11.056
146,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,427.0,465.0,,0.61,4.08278537,,,62.9,51.9,338.36516,https://doi.org/10.1016/j.dyepig.2016.11.056
147,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,Cc1ccccc1,435.0,483.0,,0.69,3.977723605,,,67.7,62.1,338.36516,https://doi.org/10.1016/j.dyepig.2016.11.056
148,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,437.0,490.0,,0.93,4.004321374,,,69.7,62.6,338.36516,https://doi.org/10.1016/j.dyepig.2016.11.056
149,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,432.0,485.0,,0.83,3.977723605,,,68.8,63.8,338.36516,https://doi.org/10.1016/j.dyepig.2016.11.056
150,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,497.0,594.0,,0.04,3.994317153,,,,,444.4928,https://doi.org/10.1016/j.dyepig.2016.11.056
151,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,Cc1ccccc1,517.0,606.0,,0.08,4.071882007,,,,,444.4928,https://doi.org/10.1016/j.dyepig.2016.11.056
152,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,527.0,611.0,,0.1,4.158362492,,,,,444.4928,https://doi.org/10.1016/j.dyepig.2016.11.056
153,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,520.0,609.0,,0.07,3.959041392,,,,,444.4928,https://doi.org/10.1016/j.dyepig.2016.11.056
154,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCCCCC,480.0,555.0,,0.06,3.970811611,,,89.2,43.0,612.81536,https://doi.org/10.1016/j.dyepig.2016.11.056
155,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,Cc1ccccc1,492.0,573.0,,0.06,3.925312091,,,94.8,47.6,612.81536,https://doi.org/10.1016/j.dyepig.2016.11.056
156,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,ClCCl,500.0,587.0,,0.12,3.964730921,,,97.0,50.4,612.81536,https://doi.org/10.1016/j.dyepig.2016.11.056
157,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,C1CCOC1,497.0,583.0,,0.07,3.909556029,,,97.0,50.1,612.81536,https://doi.org/10.1016/j.dyepig.2016.11.056
158,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCCCCC,432.0,486.0,,0.59,4.029383778,,,,,486.52968,https://doi.org/10.1016/j.dyepig.2016.11.056
159,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,Cc1ccccc1,437.0,491.0,,0.52,4.06069784,,,,,486.52968,https://doi.org/10.1016/j.dyepig.2016.11.056
160,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,ClCCl,439.0,497.0,,0.48,4.045322979,,,,,486.52968,https://doi.org/10.1016/j.dyepig.2016.11.056
161,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,C1CCOC1,436.0,497.0,,0.36,4.075546961,,,,,486.52968,https://doi.org/10.1016/j.dyepig.2016.11.056
162,O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,ClC(Cl)(Cl)Cl,445.0,460.0,1.57,0.56,4.76,,,,,588.70432,https://doi.org/10.1016/j.dyepig.2017.09.003
163,O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,CS(C)=O,451.0,461.0,1.89,0.72,4.81,,,,,588.70432,https://doi.org/10.1016/j.dyepig.2017.09.003
185,CN1/C(=C/C=C/C2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,548.0,562.0,0.3,0.04,,,,,,615.7459,http://www.iss.com/resources/research/technical_notes/K2CH_FLT.html
309,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,C1CCCCC1,408.0,446.0,0.064,0.014,,,,87.4,71.5,368.3838,http://doi.org.ssl.oca.korea.ac.kr/10.1562/0031-8655(2000)0720625EOSOTE2.0.CO2
310,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,c1ccccc1,418.0,464.0,0.201,0.052,,,,72.0,73.2,368.3838,http://doi.org.ssl.oca.korea.ac.kr/10.1562/0031-8655(2000)0720625EOSOTE2.0.CO2
311,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CC#N,418.0,538.0,0.376,0.075,,,,73.3,102.6,368.3838,http://doi.org.ssl.oca.korea.ac.kr/10.1562/0031-8655(2000)0720625EOSOTE2.0.CO2
312,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CO,420.0,560.0,0.148,0.017,,,,74.7,115.2,368.3838,http://doi.org.ssl.oca.korea.ac.kr/10.1562/0031-8655(2000)0720625EOSOTE2.0.CO2
313,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CN(C)C=O,430.0,542.0,0.194,0.022,,,,,,368.3838,http://doi.org.ssl.oca.korea.ac.kr/10.1562/0031-8655(2000)0720625EOSOTE2.0.CO2
314,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CS(C)=O,429.0,549.0,0.196,0.024,,,,,,368.3838,http://doi.org.ssl.oca.korea.ac.kr/10.1562/0031-8655(2000)0720625EOSOTE2.0.CO2
348,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,368.0,493.0,,0.0024,,,,,88.3,507.54374,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
349,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,376.0,541.0,2.82,0.1112,,,,,92.9,507.54374,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
350,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,376.0,558.0,6.83,0.3007,,,,,102.0,507.54374,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
351,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,369.0,585.0,6.6,0.0886,,,,,112.7,507.54374,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
352,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,C1CCOC1,374.0,662.0,2.01,0.0046,,,,,131.7,507.54374,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
353,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOC(C)=O,371.0,654.0,1.49,0.0049,,,,,130.2,507.54374,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
354,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClCCl,379.0,685.0,0.79,0.0016,,,,,127.2,507.54374,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
355,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,CCCCCC,395.0,512.0,1.41,0.0086,,,,,105.1,299.32822,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
356,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,ClC(Cl)(Cl)Cl,415.0,562.0,6.23,0.2925,,,,,106.6,299.32822,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
357,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,Cc1ccccc1,417.0,599.0,3.97,0.1076,,,,,117.3,299.32822,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
358,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,CCOCC,433.0,643.0,0.5,0.0039,,,,,123.4,299.32822,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
361,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,ClCCl,419.0,695.0,,0.0001,,,,,136.3,299.32822,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
362,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCCCCC,442.0,529.0,5.51,0.3918,,,,,89.1,451.52374,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
363,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,ClC(Cl)(Cl)Cl,457.0,588.0,8.82,0.326,,,,,99.3,451.52374,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
364,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,Cc1ccccc1,454.0,615.0,6.79,0.092,,,,,106.8,451.52374,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
365,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCOCC,443.0,645.0,2.81,0.0129,,,,,120.4,451.52374,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
367,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCOC(C)=O,446.0,699.0,0.15,0.0001,,,,,134.7,451.52374,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
369,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,457.0,542.0,6.89,0.4033,,,,,87.7,479.5775,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
370,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,474.0,610.0,9.25,0.2456,,,,,100.0,479.5775,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
371,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,470.0,635.0,5.75,0.0801,,,,,105.8,479.5775,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
372,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,459.0,680.0,1.27,0.0041,,,,,126.6,479.5775,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
376,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,468.0,571.0,7.04,0.2653,,,,,93.6,511.5755,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
377,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,483.0,646.0,5.94,0.0538,,,,,108.9,511.5755,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
378,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,481.0,679.0,1.09,0.0045,,,,,120.4,511.5755,http://dx.doi.org/10.1016/j.dyepig.2017.05.024
383,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC#N,497.0,508.0,3.81,0.52,,,,,,324.18086,https://doi.org/10.1016/j.dyepig.2019.01.019
384,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC(C)=O,498.0,509.0,3.65,0.46,,,,,,324.18086,https://doi.org/10.1016/j.dyepig.2019.01.019
385,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC(=O)C(C)(C)C,499.0,511.0,3.39,0.55,,,,,,324.18086,https://doi.org/10.1016/j.dyepig.2019.01.019
386,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CCOC(C)=O,498.0,510.0,3.98,0.58,,,,,,324.18086,https://doi.org/10.1016/j.dyepig.2019.01.019
387,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,C1CCOC1,500.0,512.0,3.73,0.56,,,,,,324.18086,https://doi.org/10.1016/j.dyepig.2019.01.019
388,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CCCCCC,501.0,511.0,3.37,0.56,,,,,,324.18086,https://doi.org/10.1016/j.dyepig.2019.01.019
389,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CO,498.0,510.0,3.9,0.58,,,,,,324.18086,https://doi.org/10.1016/j.dyepig.2019.01.019
390,COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC#N,499.0,512.0,,0.57,,,,,,354.20674,https://doi.org/10.1016/j.dyepig.2019.01.019
391,COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(C)=O,501.0,513.0,,0.78,,,,,,354.20674,https://doi.org/10.1016/j.dyepig.2019.01.019
